network,region,type,size,cty,start,end,duration,censored,government,coalition,nodes,edges,density,n_bills_au,n_bills_co,n_sigs_au,n_sigs_co,s_min,s_max,s_med,s_mu,mu_au,mu_co,n_au,n_co,n_both,n_fem,n_new,n_ind,ysio_n,ysio_min,ysio_max,ysio_med,ysio_mu,ysio_cor,born_p,born_min,born_max,born_med,born_mu,constituency_p,constituency_n,pg_n,pg_min,pg_max,pg_med,pg_mu,pg_sd,n_gov,n_opp,pc_n,pc_min,pc_max,pc_med,pc_mu,pc_sd,cc_min,cc_max,cc_med,cc_mu,cc_p,lr_n,lr_min,lr_max,lr_med,lr_mu,lr_sd,raw_min,raw_max,raw_med,raw_mu,nfw_min,nfw_max,nfw_med,nfw_mu,gsw_min,gsw_max,gsw_med,gsw_mu
net_at1994,West,Lower,183,AT,1994,1995,2,0,stable,SPÖ;ÖVP,44,37,0.0195560253699789,163,31,209,77,1,11,1,1.28220858895706,0.704545454545455,1.04545454545455,17,32,5,15,8,0,7,1,25,9,8.54545454545454,-0.570566327138498,100,1932,1958,1944.5,1945.59090909091,100,24,5,2,25,2,8.8,10.2323017938292,38,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,2.5,8.3,6.5,5.5,1.53653188465392,1,7,1,1.24324324324324,0.1,7,1,0.837837837837838,0.0909090909090909,1,1,0.643734643734644
net_at1995,West,Lower,183,AT,1995,1999,5,0,stable,SPÖ;ÖVP,67,59,0.0133423790140208,498,123,630,255,1,5,1,1.26506024096386,1.83582089552239,1.97014925373134,38,42,13,17,0,0,10,4,29,9,11.4179104477612,-0.444406686021576,100,1935,1969,1946,1947.98507462687,100,33,5,3,26,7,13.4,11.148990985735,51,16,80,8,49,17,22.1875,11.3171693804065,1,14,5,5.21052631578947,96.6101694915254,67,2.5,8.3,4.9,4.93283582089552,1.63469838379138,1,24,1,2.23728813559322,0.25,24,1,2.08474576271186,0.0357142857142857,1,1,0.742372881355932
net_at1999,West,Lower,183,AT,1999,2002,4,0,mixed,NA,63,73,0.0186891961085509,259,105,381,227,1,4,1,1.47104247104247,1.66666666666667,1.93650793650794,41,42,20,12,0,0,9,3,28,12,10.8253968253968,-0.607283574299812,100,1932,1974,1951,1950.38095238095,100,33,4,5,25,16.5,15.75,10.2428837085396,NA,NA,68,5,50,19,24.2058823529412,13.1643557908824,1,11,5,4.95890410958904,100,63,2.5,8.3,6.5,6.46825396825397,1.91873827804135,1,12,1,1.67123287671233,0.333333333333333,12,1,1.43835616438356,0.0666666666666667,1,0.571428571428571,0.638878016960209
net_at2002,West,Lower,183,AT,2002,2006,5,0,mixed,NA,74,93,0.0172158459829693,270,124,436,290,1,4,1,1.61481481481481,1.67567567567568,2.24324324324324,36,56,18,22,0,0,10,4,36,7,10.5810810810811,-0.520604626274993,100,1938,1974,1954.5,1955.02702702703,100,29,4,9,28,18.5,18.5,8.02080627701064,NA,NA,51,6,54,31,28.6666666666667,13.7908182014943,1,10,4,3.91304347826087,98.9247311827957,74,2.5,8.3,6.5,5.91891891891892,2.06899324837684,1,12,1,1.78494623655914,0.333333333333333,10.8333333333333,1,1.33333333333333,0.0240963855421687,1,0.375,0.477492383327779
net_at2006,West,Lower,183,AT,2006,2008,3,0,stable,SPÖ;ÖVP,51,45,0.0176470588235294,241,40,297,96,1,5,1,1.23236514522822,0.784313725490196,1.09803921568627,22,32,3,16,0,0,12,2,30,9,10.6078431372549,-0.459945039224647,100,1941,1981,1955,1956.21568627451,100,22,5,4,18,6,10.2,6.72309452558864,35,16,45,10,54,37,34.4666666666667,12.5419296760905,1,9,4.5,4.66666666666667,93.3333333333333,51,2.5,8.8,6.5,5.43333333333333,2.09615521053825,1,4,1,1.24444444444444,0.25,4,1,0.888888888888889,0.0769230769230769,1,1,0.671297591297591
net_at2008,West,Lower,183,AT,2008,2013,6,0,stable,SPÖ;ÖVP,83,103,0.015133705553923,395,137,598,340,1,6,1,1.51392405063291,1.65060240963855,2.44578313253012,39,69,25,25,0,0,14,5,31,11,12.7469879518072,-0.481078302363785,100,1943,1981,1959,1959.4578313253,100,28,5,6,30,12,16.6,9.98999499499374,54,29,53,8,72,40,35.1698113207547,14.6848114220843,1,9,5,4.78571428571429,95.1456310679612,83,2.5,8.8,6.5,5.54698795180723,2.15951311977659,1,12,1,1.97087378640777,0.2,10.3333333333333,1,1.33009708737864,0.0252100840336134,1,0.347826086956522,0.483712950726657
net_at2013,West,Lower,183,AT,2013,2018,3,1,stable,SPÖ;ÖVP,60,59,0.0166666666666667,257,53,348,144,1,6,1,1.35408560311284,0.883333333333333,1.51666666666667,26,43,9,15,0,0,9,2,33,9,9.3,-0.52097611552198,100,1949,1987,1964.5,1964.5,100,24,6,5,18,8,10,5.29150262212918,33,27,45,2,40,27,26.5555555555556,8.89472661840495,1,8,3,3.4406779661017,100,60,2.5,8.3,6,5.48833333333333,1.80452272357181,1,6,1,1.54237288135593,0.2,5,0.95,0.898305084745763,0.0816326530612245,1,1,0.680087628271648
net_be_ch1991,West,Lower,150,BE_CH,1991,1995,5,0,stable,CDEM-V;SOC-F;SOC-V;CDEM-F,153,329,0.0141468868249054,400,178,799,577,1,10,1,1.9975,1.16339869281046,2.6078431372549,81,141,69,3,59,0,2,1,4,4,2.84313725490196,-0.334759562890586,100,1928,1964,1947,1946.79738562092,100,10,10,1,29,17.5,15.3,8.20636609251893,77,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,2.6,9.7,5.8,5.30261437908497,2.04257151238651,1,6,1,1.21276595744681,0.111111111111111,5,0.333333333333333,0.541033434650456,0.0526315789473684,1,0.428571428571429,0.517229870882852
net_be_ch1995,West,Lower,150,BE_CH,1995,1999,5,0,stable,CDEM-V;SOC-F;SOC-V;CDEM-F,139,379,0.0197581065582317,483,256,996,769,1,10,2,2.06211180124224,1.84172661870504,3.69064748201439,89,135,85,19,85,0,3,1,8,1,3.13669064748201,-0.111009087307709,100,1931,1969,1949,1948.90647482014,100,10,9,5,30,16,15.4444444444444,7.40120110372484,78,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,2.6,9.7,5.8,5.37194244604317,2.0225550198345,1,10,1,1.35356200527704,0.111111111111111,9,0.333333333333333,0.675461741424802,0.0198675496688742,1,0.333333333333333,0.480757302250788
net_be_ch1999,West,Lower,150,BE_CH,1999,2003,5,0,stable,LIB-V;SOC-F;LIB-F;SOC-V;ECOLO,150,531,0.023758389261745,533,357,1282,1106,1,10,2,2.40525328330206,2.38,4.99333333333333,107,142,99,36,66,0,4,1,12,5,4.92,-0.342184968549074,100,1932,1975,1953,1952.94666666667,100,10,9,8,22,18,16.6666666666667,4.82182538049648,95,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,2.6,9.7,5.8,5.462,2.20854563582086,1,14,1,1.4105461393597,0.111111111111111,11.1666666666667,0.5,0.672316384180791,0.0173410404624277,1,0.230769230769231,0.372839432877932
